"신고항목별(1)",신고항목별(2),2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
"신고항목별(1)",신고항목별(2),연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%
"신고항목별(1)",신고항목별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"급여총계",소계,11903039,279372280,1190303,85739308,12594596,317872095,1262974,100536682,13376254,336480044,1337377,110206364,14045580,361878914,1404558,119405737,14294993,369570625,1429499,121671749,15176782,401086049,1517678,136053140,15540057,437838449,1554005,146941565,15768083,470771597,1576808,154403354,16359770,502944232,1635977,164514058,16687079,533726860,1668707,172102166,17333394,566729049,1733339,183573147,17740098,600099695,1774009,192812663,18005534,637616487,1800553,204236160,18577885,681611264,1857788,215282769,19167273,721686447,1916727,224536273,19495359,750265078,1949535,234911233
"과세소득(소득명세)",소계,-,-,-,-,-,-,-,-,-,-,-,-,13957784,353504946,1404477,116994429,14250112,362559549,1429402,119477572,15142639,396279843,1517665,134691615,15480508,433252885,1553996,145579839,15716146,466668652,1576792,152808992,16295073,498010967,1635960,162777970,16629769,528649147,1668695,170345582,17263158,562502512,1733327,182039966,17668285,595971801,1774004,191314268,17925345,633593460,1800547,202753111,18501089,677470021,1857784,213858087,19074871,717521625,1916715,223158049,19410638,746309379,1949518,233639727
"과세소득(소득명세)",급여,-,-,-,-,-,-,-,-,-,-,-,-,13944558,293251492,1404219,87672651,14236270,300807468,1429139,89351412,15128458,326936305,1517350,98596672,15465837,360634581,1553694,107809210,15699784,391259572,1576465,114731161,16276701,419052004,1635436,122585427,16612935,449142874,1668135,129560495,17245274,481235416,1732750,140008896,17647458,513046127,1773420,148030035,17905790,546654600,1800050,156321419,18482150,589621614,1857373,166129445,19053197,631706977,1916345,176698894,19388493,657585124,1949153,184847726
"과세소득(소득명세)",상여,-,-,-,-,-,-,-,-,-,-,-,-,7373984,59475818,1236951,28716106,7436893,60479658,1265315,29064594,7793422,68271811,1352067,35253611,8175011,71636088,1384588,37013497,8409992,74453162,1395127,37363357,8584646,77992858,1434724,39485573,8655800,78187357,1453373,39773075,8790825,79813968,1502909,40907996,8971128,81414900,1533609,42251657,9131684,84417510,1536859,44422047,9065254,86048270,1557462,46386091,9088329,84035925,1599746,45132484,9164300,86553539,1621712,47073588
"과세소득(소득명세)",인정상여,-,-,-,-,-,-,-,-,-,-,-,-,251248,411396,110863,242372,253618,421273,102636,253289,258009,463360,115027,288890,262310,467157,114047,284009,268023,517161,112693,321783,286029,515981,115221,303089,287841,668923,123910,416358,285447,744814,122012,479219,355026,1017026,147429,604783,374399,1142293,147268,711173,369017,990112,142286,602238,358474,982111,136599,593496,345998,1023883,129841,636557
"과세소득(소득명세)",주식매수선택권행사이익,-,-,-,-,-,-,-,-,-,-,-,-,2299,366240,1324,363300,6544,688336,4835,682411,5443,435293,3633,427681,7057,394345,4522,380676,8079,331040,4843,315920,7373,310600,4754,297281,6022,418716,3995,408425,7516,435335,4743,422575,8014,323596,5036,308871,8843,1124443,6242,1114583,9745,550512,6491,539520,9253,564218,6751,548493,12216,889246,9241,874975
"과세소득(소득명세)",우리사주조합인출금,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48019,162814,30721,125866,42704,173074,24999,124760,31895,120714,21943,92446,26834,107717,16416,76771,31719,109256,19993,77036,36498,152386,22284,109482,37109,143860,23076,95228,39288,140779,23850,90865,54217,193643,31840,124772,38840,175084,24111,118804,30992,126777,18240,81607,45671,149177,26190,101420
