object,R,V,err+,err-
G 253,3.4,281,74,74
(NGC 428),15.4,1250,0,0
(NGC 628),18.2,797,0,0
G 672,10.9,540,0,0
G 1023,14.3,721,13,13
G 1068,18.1,1332,100,100
Eridanus G,22.8,1520,59,59
G 2841,7.6,601,47,470
G 2985,16.1,1274,0,0
G M81,3.25,226,28,28
G 3184,15.4,673,39,39
(NGC 3486).,18.1,677,0,0
(NGC 3631),24.2,1242,0,0
(NGC 3726),21,935,0,0
G Leo,23.4,799,48,48
G 3938,20.3,873,90,90
G CVnI,5,339,33,33
Virgo Cl,19.8,1111,75,75
G Coma I,10.2,922,49,49
G CVn II,7.6,698,35,35
G 5128,7.9,317,41,41
G M51,9.7,606,28,28
(NGC 5248),20.6,1104,0,0
G M101,7.2,402,32,32
(NGC 6015),29.2,1048,0,0
G 6643,24.4,1842,116,116
(NGC 6946),11,335,0,0
(NGC 7741),27.9,1035,0,0
G IC 342,4.5,122,56,56
(A0103),19.8,1063,0,0
