H0,err+,err-,year
625,50,50,1927
460,40,50,1928
500,50,50,1929.046
558,50,50,1931.18
290,290,145,1931.914
865,100,100,1935.1
524,50,50,1936
260,170,100,1951.08
280,28,28,1952.694
180,36,36,1956.3
75,25,25,1958.35
136,14,14,1958
120,25,20,1960.27
100,20,17,1960
125,5,5,1960.79
130,30,30,1961
98,15,15,1962.5
79,12,12,1968.164
75,19,15,1968.43
95,15,12,1970.104
40,25,13,1973
95,36,36,1972.72
60,15,15,1974.71
55,9,9,1974.912
57,6,6,1974.957
57,3,3,1975.169
59,4,4,1975.291
95,15,12,1975.5
55,5,5,1975.52
41,3,3,1976.67
76,8,8,1976.708
50,4,4,1976.875
80,8,8,1977.175
54,58,28,1977.25
49,2,2,1977.624
49,9,9,1977.42
52,2,2,1977.5
83,19,19,1977.52
76,8,8,1977.54
90,10,10,1977.56
110,10,10,1977.875
85,0,0,1978
51,2,2,1979.128
58,17,5,1979.207
60,15,10,1979.209
56,15,15,1979.24
61,4,4,1979.253
59,8,8,1979.42
80,11,11,1979.67
100,10,10,1979.739
100,10,10,1979.79
75,15,15,1980.125
65,4,4,1980.419
95,4,4,1980.503
50,8,8,1980.75
55,6,6,1981.503
50,7,7,1982
95,10,10,1982.731
63,10,10,1982.458
50,7,7,1982.374
71,2,2,1982.5
100,10,10,1983.05
82,10,10,1983.083
93,10,10,1983.169
74,11,11,1983.957
55,9,9,1984.07
91,3,3,1984.207
85,5,5,1984.54
102,8,8,1984.56
75,0,0,1984.8
101,10,10,1984.919
97,20,20,1985.086
99,7,7,1985.75
50,7,7,1985.5
70,30,30,1985.52
55,15,15,1985.54
43,10,10,1985.56
120,20,20,1985.5
52,2,2,1985.54
60,10,10,1985.58
55,15,15,1985.6
67,4,4,1985.64
50,7,7,1986
85,25,20,1986.02
92,1,1,1986.207
90,20,20,1986.253
109,4,4,1986.355
43,10,10,1986.5
50,7,7,1985.502
99,10,10,1986.6
60,10,10,1986.62
85,15,15,1986.64
55,5,5,1986.66
60,6,6,1986.68
72,3,3,1986.7
70,5,5,1986.72
67,0,0,1986.75
105,11,11,1986.79
55,7,7,1987.2
90,10,10,1987.22
67,10,10,1987.417
92,30,30,1987.5
50,10,10,1987.52
69,14,14,1987.54
60,15,15,1987.669
48,12,12,1988.458
75,5,5,1988.79
88,35,35,1988.92
55,15,15,1988.94
70,20,20,1988.96
57,10,10,1988.98
66,10,10,1988.1
90,5,5,1988.556
65,25,20,1988.5
56,12,12,1988.333
85,10,10,1988.54
42,11,11,1988.622
56,13,13,1988.624
57,1,1,1988.626
89,10,10,1988.874
75,15,15,1989
105,35,35,1989.02
88,26,20,1989.874
90,15,15,1989.207
85,5,5,1989.708
72,3,3,1989.5
67,8,8,1989.55
24,13,10,1990.04
68,8,8,1990.054
73,10,10,1990.2
87,13,12,1990.472
71,4,3,1990.5
45,3,3,1990.944
70,10,10,1991
84,10,10,1991.02
52,2,2,1991.04
69,14,14,1991.06
50,17,17,1991.223
82,7,7,1991.387
52,2,2,1991.5
55,15,15,1991.52
92,21,17,1991.554
45,12,12,1991.753
87,12,12,1991.97
90,10,10,1992.25
85,10,10,1992.297
55,25,25,1992.5
45,9,9,1992.943
80,12,12,1992.6
44,3,3,1992.75
63,3,3,1992.78
77,8,8,1992.919
43,11,11,1993.002
44,12,12,1993.5
90,10,10,1993.52
58,10,10,1993.54
86,18,18,1993.6
47,5,5,1993.72
89,6,6,1993.722
85,4,4,1993.724
75,8,8,1993.777
55,17,17,1994.002
53,8,8,1994.169
52,9,9,1994.278
81,17,15,1994.291
73,7,7,1994.669
80,17,17,1994.823
67,7,7,1995
52,8,8,1995.002
58,6,6,1995.25
55,7,7,1995.44
50,5,5,1995.5
60,4,4,1995.55
71,30,25,1995.61
80,17,17,1995.637
69,8,8,1995.686
80,17,17,1995.791
70,13,13,1995.804
57,3,2,1995.86
78,11,11,1995.917
70,9,9,1995.93
55,10,10,1995.94
69,8,8,1995.95
78,11,11,1995.96
81,8,8,1995.976
66,6,6,1995.99
50,2,2,1996
77,22,2,1996.02
56,5,5,1996.05
55,5,5,1996.07
55,10,10,1996.1
84,4,4,1996.143
76,8,8,1996.15
67,9,9,1996.17
57,4,4,1996.22
65,8,8,1996.25
55,3,3,1996.26
57,4,4,1996.333
40,10,10,1996.375
70,5,5,1996.377
60,3,3,1996.379
54,4,4,1996.381
73,10,10,1996.383
73,10,10,1996.385
74,11,11,1996.38
82,13,13,1996.387
81,6,6,1996.389
62,9,9,1996.44
85,10,13,1996.444
60,10,10,1996.48
55,10,10,1996.5
68,7,7,1996.53
56,3,3,1996.554
73,7,7,1996.58
69,8,8,1996.667
72,10,12,1996.68
57,5,5,1996.78
63,12,12,1996.84
51,14,13,1996.89
58,9,9,1996.91
55,5,5,1996.92
73,10,10,1996.92
63,3,3,1996.92
65,8,8,1996.93
55,10,10,1996.93
72,6,9,1996.94
70,10,10,1996.95
98,12,11,1996.96
72,12,12,1996.97
58,7,8,1996.98
55,10,10,1997
93,12,10,1997.01
70,7,7,1997.02
67,8,8,1997.02
68,6,6,1997.03
73,8,8,1997.04
67,9,9,1997.05
64,20,22,1997.06
81,6,6,1997.08
80,8,9,1997.09
74,5,5,1997.1
82,10,10,1997.11
68,8,8,1997.13
62,7,7,1997.137
92,12,12,1997.15
69,5,5,1997.17
75,6,6,1997.18
69,8,8,1997.19
74,14,14,1997.21
68,3,3,1997.225
70,10,10,1997.23
67,3,3,1997.235
65,10,10,1997.24
60,10,10,1997.245
58,10,5,1997.25
65,16,16,1997.306
52,6,6,1997.333
